,Area Name,Band,Bungalow,Flat,Terraced,Semi-Detached,Detached,Bungalow_%,Flat_%,Terraced_%,Semi-Detached_%,Detached_%,All_Band_%,All_Band_%_except_Flats
0,North East,All,140720.0,196710.0,364130.0,365330.0,136400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,North East,A,58850.0,162100.0,276110.0,158280.0,1570.0,41.820636725412164,82.40557165370342,75.82731442067393,43.325212821284865,1.151026392961877,48.90595240280725,40.53104759008321
2,North East,B,25850.0,18760.0,51180.0,86800.0,3710.0,18.369812393405343,9.536881704031314,14.055419767665395,23.75934086989845,2.719941348973607,13.688279216794822,14.726128594985699
3,North East,C,27970.0,9730.0,21490.0,90210.0,28220.0,19.87635019897669,4.946367749478928,5.9017383901353915,24.692743546930174,20.6891495601173,15.221269889127697,17.78999542403989
4,North East,D,15220.0,4610.0,8860.0,21140.0,47890.0,10.815804434337691,2.343551420873367,2.4331969351605194,5.786549147346235,35.1099706744868,11.297814522440923,13.536380297832812
5,North East,E,8040.0,1100.0,4020.0,5680.0,30770.0,5.713473564525298,0.5591988205988511,1.1040013182105293,1.5547587113021104,22.558651026392962,6.29801668820595,7.7327211551077255
6,North East,F,3610.0,280.0,1770.0,2000.0,13860.0,2.5653780557134733,0.14234151797061664,0.4860901326449345,0.5474502504584896,10.161290322580644,2.7805100558736315,3.4400521903493853
7,North East,G,1140.0,110.0,660.0,1170.0,9230.0,0.8101193860147812,0.055919882059885115,0.18125394776590778,0.3202583965182164,6.766862170087977,1.6268827564893535,2.019623475096721
8,North East,H,50.0,10.0,30.0,50.0,1150.0,0.03553155201819216,0.005083625641807737,0.008238815807541261,0.013686256261462238,0.8431085043988269,0.18112975082556607,0.22514128212150564
9,North West,All,280050.0,533780.0,1034650.0,927340.0,408450.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,North West,A,47080.0,376290.0,707700.0,183200.0,2210.0,16.811283699339405,70.49533515680618,68.39994200937515,19.755429508055297,0.5410698983963765,35.20061205439448,26.376931278791556
11,North West,B,46830.0,85560.0,214940.0,287910.0,6760.0,16.722013926084628,16.02907564914384,20.77417484173392,31.046865227424675,1.6550373362712694,17.245433396131666,17.549522832878623
12,North West,C,82910.0,39720.0,71380.0,317140.0,49090.0,29.60542760221389,7.44126793810184,6.898951336200647,34.198891452973015,12.018606928632636,18.032629051624404,20.680469330005046
13,North West,D,58230.0,21120.0,25530.0,99060.0,119350.0,20.79271558650241,3.956686275244483,2.467501087324216,10.682166195785795,29.220222793487576,13.423858387668895,15.790651415774999
14,North West,E,28540.0,7310.0,9950.0,26650.0,113840.0,10.191037314765222,1.369478062122972,0.961677862078964,2.8738111156641577,27.871220467621495,8.653444964450562,10.474436690032459
15,North West,F,11460.0,2450.0,3720.0,9440.0,63530.0,4.092126405998929,0.45899059537637227,0.35954187406369303,1.0179653632971726,15.553923368833395,4.296509521513912,5.255889253048297
16,North West,G,4800.0,1180.0,1350.0,3790.0,48000.0,1.7139796464916979,0.22106485818127317,0.1304789059102112,0.4086958397135894,11.751744399559309,2.845192729971216,3.501224697918702
17,North West,H,200.0,160.0,70.0,140.0,5670.0,0.07141581860382074,0.029974896024579412,0.006765572899047986,0.01509694394720383,1.3881748071979434,0.30228560773451907,0.370363285662004
18,Yorkshire and the Humber,All,265500.0,351400.0,698990.0,697910.0,325230.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19,Yorkshire and the Humber,A,59270.0,258030.0,448260.0,245250.0,2500.0,22.32391713747646,73.429140580535,64.1296728136311,35.14063417919216,0.768686775512714,39.1584102972695,30.59072772645311
20,Yorkshire and the Humber,B,52110.0,50900.0,156490.0,204770.0,8850.0,19.627118644067796,14.48491747296528,22.3880169959513,29.340459371552207,2.721151185315008,17.71233273397032,18.519186549221576
21,Yorkshire and the Humber,C,76780.0,25970.0,57790.0,179670.0,50760.0,28.919020715630882,7.390438247011952,8.267643313924376,25.74400710693356,15.607416290010146,17.185705134702182,19.63452185662474
22,Yorkshire and the Humber,D,45980.0,11630.0,23080.0,44560.0,94500.0,17.318267419962336,3.309618668184405,3.301907037296671,6.3847774068289604,29.056360114380592,11.874186129330592,14.01532799461714
23,Yorkshire and the Humber,E,20930.0,3530.0,8890.0,15270.0,87890.0,7.883239171374765,1.0045532157085943,1.271835076324411,2.187961198435328,27.023952279924977,7.874308188353615,9.59174693151487
24,Yorkshire and the Humber,F,7640.0,910.0,3210.0,5950.0,47720.0,2.87758945386064,0.2589641434262948,0.4592340376829426,0.8525454571506355,14.672693170986687,3.8242052526214403,4.715515529920227
25,Yorkshire and the Humber,G,2700.0,400.0,1210.0,2340.0,30260.0,1.0169491525423728,0.11383039271485487,0.17310691140073534,0.33528678482898944,9.304184730805892,2.188671594458569,2.7073818948944974
26,Yorkshire and the Humber,H,100.0,30.0,50.0,100.0,2750.0,0.03766478342749529,0.008537279453614115,0.00715317815705518,0.01432849507816194,0.8455554530639855,0.1826478378360624,0.2261754774316745
27,East Midlands,All,263830.0,240470.0,467540.0,571430.0,452240.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
28,East Midlands,A,53190.0,187290.0,302140.0,191080.0,3770.0,20.160709547814882,77.88497525678879,64.62334773495316,33.438916402709,0.8336281620378561,39.388315420860735,29.76415046187872
29,East Midlands,B,62190.0,32560.0,109060.0,233630.0,17920.0,23.571997119357164,13.540150538528714,23.32634640886341,40.885147787130535,3.962497788784716,21.057227928532907,22.936497276033958
