lat,lon,postal_code,state,population,density,elevation,affluence,affluence_threshold
49.89037322998047,-6.351969242095947,TR22,England,13.77066421508789,34.5310640335083,NULL,766121.3602493368,high
53.32688776652018,-1.4296586116154988,S14,England,13.774458169937134,8.95201047261556,161.94135030110678,684164.8421836263,high
51.587059020996094,0.25276267528533936,RM3,England,60.7852668762207,113.9581298828125,39.370147705078125,159775.55909685988,high
51.23942184448242,-0.2725817859172821,RG3,England,148.20822143554688,275.7362060546875,55.96559143066406,154147.99380704612,high
50.355228424072266,-4.1527252197265625,PL1,England,31.966989755630493,228.2099323272705,NULL,144492.80446202896,high
49.952602259318034,-6.3516977210839585,TR23,England,82.68851557187736,10.465317781766256,11.299199104309082,127587.24627036466,high
51.529422760009766,-1.7695497274398804,SN38,England,40.91981506347656,76.61451721191406,111.6847915649414,107429.61553420359,high
53.77428340911865,-1.4554357379674911,LS9,England,185.6381139755249,52.53437280654907,39.41132926940918,77527.18281708834,high
54.88938585917155,-1.4804823795954387,SR4,England,58.14574575424194,26.62380027770996,54.766513188680015,76342.64454637525,high
49.94896738869803,-6.33177589802515,TR24,England,163.36535070464015,41.04082773469744,6.25643815100193,64579.17761933555,high
52.53695297241211,-0.32220321893692017,PE2,England,241.4921875,462.5401306152344,22.854087829589844,63161.463556662675,high
53.3151060740153,-1.5459843873977661,S17,England,154.2059450149536,59.44849650065104,258.0377883911133,61113.07835172074,high
49.9650381317845,-6.2928613645059075,TR25,England,180.10980497300625,32.6197970090089,11.200619717439016,58575.37851190927,high
54.970149993896484,-1.5321650505065918,NE6,England,282.7098083496094,573.7970581054688,29.08924674987793,50451.02638378166,high
52.204054514567055,-2.1679113308588662,WR4,England,371.46203231811523,145.74357732137045,49.151620864868164,34216.1483387226,high
53.543609619140625,-2.235591411590576,M9,England,334.86138916015625,656.2049560546875,86.39264678955078,24308.565464699877,high
53.46290588378906,-2.147156000137329,M18,England,382.0335693359375,747.3270263671875,85.51557159423828,21307.028107894283,high
51.512245178222656,-0.08087822049856186,EC3,England,622.5051879882812,1164.8675537109375,34.30388641357422,20631.15335874401,high
52.87475109100342,-1.1465919613838196,NG80,England,390.98632431030273,94.2953712940216,35.761900901794434,18090.146790880026,high
50.95015292697482,-2.714286539289686,TA15,England,639.3981237411499,82.93159580230713,72.3670982784695,17884.006185525308,high
50.919545841217044,-2.8258919490708245,TA17,England,669.2464246749878,102.96855435371398,57.03739567862617,17086.38190417421,high
51.44530487060547,-0.46372151374816895,TW14,England,903.36083984375,1688.20947265625,16.302879333496094,16720.89306263557,high
50.894684325324164,-0.19806283020310933,BN45,England,697.4830904006958,39.73832744227516,95.22531375461155,14383.144391696627,high
52.45882625579834,-1.7173628091812134,B40,England,367.4865036010742,97.46338577270508,97.8001838684082,14120.246455725433,high
51.345703125,-0.2305174022912979,SM2,England,1215.9576416015625,2266.885986328125,73.64149475097656,13495.535895794903,high
55.59386048657554,-1.7224528652216708,NE69,England,503.7473791837692,23.28371337503195,38.38077653816768,12994.608548845652,high
53.403785705566406,-2.9966979026794434,L2,England,655.9157104492188,2248.396484375,NULL,11955.804496021643,high
52.82686456952776,0.505896343929427,PE35,England,422.07171988487244,29.71917140824454,32.498284346716744,11517.000004942109,high
51.54271570841471,-0.01071206604441007,E20,England,1286.3964538574219,803.1443888346354,7.426044782002767,10369.276096806181,high
51.509851137797035,0.21514464790622392,RM13,England,1000.0812044143677,295.91994007428485,4.582596972584724,9711.211406764913,high
52.92508506774902,-1.1864188710848491,NG90,England,750.2397842407227,308.5552342732747,27.844667116800945,9427.652529995064,high
51.4288330078125,-0.30592870712280273,KT25,England,2696.88427734375,5038.080078125,11.408330917358398,8978.509090441643,high
51.85202291865407,0.08256987440342337,SG10,England,3606.8143541812897,110.29672859038837,80.16201498479019,8889.562048800812,high
50.64077168658263,-4.267369263577481,PL16,England,1905.871247768402,25.8170983924802,113.40083356070936,8538.35222030563,high
53.326593653361,-1.4065167586008709,S12,England,1168.8074550628662,158.7075772603353,120.88746693929038,8062.919139656852,high
54.90441608428955,-1.4707976281642914,SR5,England,600.4978551864624,495.6902997493744,52.79024577140808,7392.199591823076,high
51.51192855834961,-0.09689439088106155,EC4,England,1749.3084106445312,1091.135518391927,24.620888392130535,7341.75856118362,high
50.231779681311714,-3.753064684143371,TQ8,England,2223.4186727404594,54.7569941910429,79.45566186032914,7318.909479132342,high
51.52496528625488,-0.47631651163101196,UB8,England,1948.6122665405273,1824.2017440795898,35.486066818237305,7245.669260343,high
50.12072232034472,-5.476935101879968,TR17,England,1466.6152292340994,275.33233286937076,22.759046578407286,7193.434098941858,high
54.97553490532769,-1.8198234147495693,NE41,England,2048.935429573059,256.34369893603855,50.34760309855144,6961.175932699846,high
54.35080349374355,-3.3803891579370697,CA18,England,654.6358077526093,45.59400303924958,32.14324538598497,6721.294417281229,high
50.690628162641374,-4.672837185471776,PL35,England,1597.4188825152814,30.634945435561825,163.25971866577393,6604.404214496366,high
51.91092038057288,-1.1517626721437288,OX6,England,2766.0573885440826,62.78918491928351,90.4006868310526,6231.613296017952,high
50.708194732666016,-1.9137303829193115,BH13,England,1205.1297607421875,1375.2813110351562,18.087080001831055,6120.502737777747,high
52.892670807900366,0.8527127050218127,NR22,England,803.6388969421387,25.85342138308983,43.20695308379796,6048.736588654678,high
51.52027893066406,-0.4470342993736267,UB11,England,2336.56103515625,4374.76318359375,43.916996002197266,6042.6412096938175,high
53.44535255432129,-1.493083655834198,S30,England,1563.1138153076172,1528.020133972168,165.80562591552734,6028.991560122177,high
