,postal_code,postal_code_trimmed,state,postal_code_prefix,uk_region,postal_code_district
122,CF48,CF,Wales,CF,Wales,Cardiff
123,PH15,PH,Scotland,PH,Scotland,Perth
124,LL63,LL,Wales,LL,Wales,Llandudno
125,LS25,LS,England,LS,Yorkshire and the Humber,Leeds
126,FK8,FK,Scotland,FK,Scotland,Falkirk
127,SA11,SA,Wales,SA,Wales,Swansea
128,NP7,NP,Wales,NP,Wales,Newport
129,LL22,LL,Wales,LL,Wales,Llandudno
130,SA19,SA,Wales,SA,Wales,Swansea
131,LD5,LD,Wales,LD,Wales,Llandrindod
132,SY25,SY,Wales,SY,Wales,Shrewsbury
133,SA31,SA,Wales,SA,Wales,Swansea
134,SA32,SA,Wales,SA,Wales,Swansea
135,CF32,CF,Wales,CF,Wales,Cardiff
136,SA13,SA,Wales,SA,Wales,Swansea
137,LL33,LL,Wales,LL,Wales,Llandudno
138,LL36,LL,Wales,LL,Wales,Llandudno
139,SY16,SY,Wales,SY,Wales,Shrewsbury
140,SY17,SY,Wales,SY,Wales,Shrewsbury
141,SY19,SY,Wales,SY,Wales,Shrewsbury
142,SY20,SY,Wales,SY,Wales,Shrewsbury
143,CF32,CF,Wales,CF,Wales,Cardiff
144,EH32,EH,Scotland,EH,Scotland,Edinburgh
145,LD3,LD,Wales,LD,Wales,Llandrindod
146,DD8,DD,Scotland,DD,Scotland,Dundee
147,SY20,SY,Wales,SY,Wales,Shrewsbury
148,AB38,AB,Scotland,AB,Scotland,Aberdeen
149,SY23,SY,Wales,SY,Wales,Shrewsbury
150,SY23,SY,Wales,SY,Wales,Shrewsbury
151,LL12,LL,Wales,LL,Wales,Llandudno
152,SY15,SY,Wales,SY,Wales,Shrewsbury
153,SY16,SY,Wales,SY,Wales,Shrewsbury
154,CF44,CF,Wales,CF,Wales,Cardiff
155,CF48,CF,Wales,CF,Wales,Cardiff
156,SA33,SA,Wales,SA,Wales,Swansea
157,KY14,KY,Scotland,KY,Scotland,Kirkaldy
158,PH2,PH,Scotland,PH,Scotland,Perth
159,PH14,PH,Scotland,PH,Scotland,Perth
160,SA43,SA,Wales,SA,Wales,Swansea
161,SA40,SA,Wales,SA,Wales,Swansea
162,LL53,LL,Wales,LL,Wales,Llandudno
163,CF71,CF,Wales,CF,Wales,Cardiff
164,NP13,NP,Wales,NP,Wales,Newport
165,CF37,CF,Wales,CF,Wales,Cardiff
166,CF8,CF,Wales,CF,Wales,Cardiff
167,CF83,CF,Wales,CF,Wales,Cardiff
168,SY10,SY,Wales,SY,Wales,Shrewsbury
169,NP22,NP,Wales,NP,Wales,Newport
170,PH3,PH,Scotland,PH,Scotland,Perth
171,LL16,LL,Wales,LL,Wales,Llandudno
172,LD3,LD,Wales,LD,Wales,Llandrindod
173,SY23,SY,Wales,SY,Wales,Shrewsbury
174,OX13,OX,England,OX,South East,Oxford
175,OX14,OX,England,OX,South East,Oxford
176,RH5,RH,England,RH,South East,Redhill
177,RH5,RH,England,RH,South East,Redhill
178,SG8,SG,England,SG,East of England,Stevenage
179,ML12,ML,Scotland,ML,Scotland,Motherwell
180,RH20,RH,England,RH,South East,Redhill
181,GL7,GL,England,GL,South West,Gloucester
182,SP4,SP,England,SP,South West,Salisbury
183,S32,S,England,S,Yorkshire and the Humber,Sheffield
184,S32,S,England,S,Yorkshire and the Humber,Sheffield
185,S33,S,England,S,Yorkshire and the Humber,Sheffield
186,AB34,AB,Scotland,AB,Scotland,Aberdeen
187,WA3,WA,England,WA,North West,Warrington
188,WN2,WN,England,WN,North West,Wigan
189,WN7,WN,England,WN,North West,Wigan
190,IV3,IV,Scotland,IV,Scotland,Inverness
191,IV4,IV,Scotland,IV,Scotland,Inverness
192,CM16,CM,England,CM,East of England,Chelmsford
193,IG10,IG,England,IG,Greater London,Ilford
194,IG7,IG,England,IG,Greater London,Ilford
195,RM4,RM,England,RM,Greater London,Romford
196,BS30,BS,England,BS,South West,Bristol
197,NN12,NN,England,NN,West Midlands,Northampton
198,GL13,GL,England,GL,South West,Gloucester
199,LN13,LN,England,LN,East Midlands,Lincoln
